# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	300
#@/user_id	4e81eb2f-72be-409f-8ad9-dab55510c07f
qing cheng shan 	青城山	c=1 d=1 t=295
qu 	去	c=1 d=1 t=190
qu shua 	去耍	c=1 d=1 t=167
ran hou 	然後	c=1 d=1 t=54
ruan jian 	軟件	c=2 d=1.97531 t=35
sai er 	塞爾	c=0 d=0.1 t=69
sai er hao 	塞爾號	c=1 d=1 t=70
sha 	啥	c=1 d=1 t=209
sha yi si 	啥意思	c=1 d=1 t=64
she zhi 	設置	c=1 d=1 t=4
shi 	是	c=1 d=1 t=118
shi de 	是的	c=2 d=1.33622 t=271
shi yong 	使用	c=1 d=1 t=282
shou ji 	手機	c=1 d=1 t=32
shu ru fa 	輸入法	c=2 d=1.62814 t=95
shu yuan 	書源	c=3 d=2.93131 t=49
shua 	耍	c=1 d=1 t=265
shuang ji 	雙擊	c=1 d=1 t=192
shuang pin 	雙拼	c=3 d=2.94605 t=14
shuo le 	說了	c=1 d=1 t=112
sou shu 	搜書	c=1 d=1 t=55
sou suo 	搜索	c=1 d=1 t=21
suo yi 	所以	c=1 d=1 t=97
ta 	他	c=0 d=0.1 t=173
ta bu zai 	他不在	c=1 d=1 t=174
ta men 	他們	c=1 d=1 t=189
ta miu qu 	他謬去	c=1 d=1 t=188
tao bao 	淘寶	c=1 d=1 t=274
tian jia 	添加	c=1 d=1 t=24
tong cheng 	同城	c=1 d=1 t=288
tong wen 	同文	c=1 d=1 t=1
tu le 	吐了	c=2 d=1.99005 t=165
tui song 	推送	c=1 d=1 t=102
wan le 	完了	c=1 d=1 t=91
wan neng 	萬能	c=4 d=3.92595 t=242
wan shang 	晚上	c=0 d=0.1 t=56
wan shi 	萬事	c=1 d=1 t=59
wang luo 	網絡	c=1 d=1.09005 t=49
wang luo dao ru 	網絡導入	c=1 d=1 t=50
wei xin 	微信	c=1 d=1 t=101
wen 	文	c=6 d=3.85266 t=291
wen jian 	文件	c=1 d=1 t=270
wen ti 	問題	c=1 d=1 t=278
wo 	喔	c=1 d=1 t=232
wo 	我	c=9 d=6.91844 t=233
wo cao 	握草	c=3 d=1.92526 t=292
